base,rows,scan_count,scan_min,scan_max,valid,projected,valid_rate_pct,projected_rate_pct,range_min_m,range_median_m,range_p95_m,range_max_m,projected_range_median_m,projected_range_max_m,angle_min_deg,angle_max_deg,u_min,u_max,v_min,v_max,v_std,t_min_ms,t_max_ms,projected_t_min_ms,projected_t_max_ms,exposure_ms,lidar_period_ms,mask_nonzero_pixels,overlay_changed_pixels
00000_1954774022000,80,2,150,151,69,60,86.25,75.0,0.7888,2.2,2.7281999999999997,2.7771999999999997,2.2105,2.7771999999999997,-32.844,33.531,20.28,1276.16,319.15,349.63,10.638925755085529,-3.629,138.914,-3.615,135.703,152.391,128.88183238207918,613,1203
00001_1963113875000,75,3,214,216,64,55,85.33333333333333,73.33333333333333,0.9128,1.7751,2.69113,2.7702,1.8462,2.7702,-32.578,32.469,26.57,1250.85,323.77,349.6,8.264264134570633,23.201,156.283,23.284,156.283,152.391,128.91642323391042,673,1316
00002_1980274670000,77,3,347,349,71,62,92.20779220779221,80.51948051948052,1.402,1.454,2.44165,2.685,1.45725,2.685,-33.031,32.812,15.82,1258.97,335.56,347.24,2.9534278440782855,24.707,155.85,24.784,155.85,152.391,128.85679340388384,806,1674
00003_1991180559000,54,2,432,433,49,43,90.74074074074075,79.62962962962963,0.9422,1.4352,2.5594799999999998,2.7165,1.428,2.7165,-32.984,33.469,16.94,1274.66,328.79,347.49,4.343339168485934,94.584,121.012,94.646,120.951,152.391,129.28584487901225,559,1161
00004_2003850605000,54,2,530,531,41,35,75.92592592592592,64.81481481481481,0.536,1.413,2.5908,2.7312,1.4098,2.7312,-33.312,33.328,9.1,1271.28,304.91,347.58,14.967835484866901,86.019,112.503,86.08,108.214,152.391,128.92934805583582,455,945
00005_2017001755000,61,2,632,633,43,34,70.49180327868852,55.73770491803279,0.38980000000000004,1.4235,2.63812,2.7045,1.4171500000000001,2.7045,-32.859,32.906,19.91,1261.2,273.96,347.41,25.68520540227572,-3.487,129.272,-3.441,129.211,152.391,129.1088233923879,442,918
00006_2023737696000,56,2,684,685,38,32,67.85714285714286,57.142857142857146,0.38880000000000003,1.52475,2.59754,2.7235,1.52475,2.7235,-33.203,33.375,11.72,1272.4,274.09,347.54,24.99468068409757,79.035,110.781,81.211,110.718,152.391,128.9845781258138,416,864
00007_2032237800000,66,2,750,751,52,42,78.78787878787878,63.63636363636363,0.3882,0.45285000000000003,1.5201,1.5662,0.476,1.5662,-33.609,33.578,1.95,1277.29,273.71,341.61,23.184655792765717,-2.576,131.965,-2.576,128.727,152.391,129.03312185057337,536,1100
00008_2038492583000,56,2,798,799,41,35,73.21428571428571,62.5,0.3875,1.4707999999999999,2.5758,2.7068000000000003,1.4707999999999999,2.7068000000000003,-33.188,33.625,12.09,1278.43,273.15,347.43,25.98587738894859,45.137,72.82,47.317,69.583,152.391,129.21002223416812,454,940
00009_2052605911000,86,3,907,909,78,69,90.69767441860465,80.23255813953489,0.9117999999999999,0.95635,2.4845999999999995,2.7285,0.9458,2.7285,-33.203,33.266,11.72,1269.78,327.47,347.58,4.909363317493909,8.525,152.876,12.824,152.876,152.391,129.27110366959943,897,1863
00010_2057096513999,55,2,942,943,44,38,80.0,69.0909090909091,0.4788,0.56425,2.5366750000000002,2.9152,0.56425,2.9152,-32.938,30.125,18.06,1197.05,288.69,348.58,19.649179158949583,38.354,67.635,38.4,67.561,152.391,129.78191096672148,494,1026
00011_2078106053000,51,2,1105,1106,42,36,82.3529411764706,70.58823529411765,0.385,1.51,2.12571,2.334,1.56125,2.334,-32.984,32.156,16.94,1243.52,274.53,347.66,25.930403687884745,85.963,111.442,88.15,111.381,152.391,129.2725312545834,468,972
00012_2091257027000,86,3,1206,1208,61,58,70.93023255813954,67.44186046511628,1.0512000000000001,2.198,2.7235,2.76,2.1999,2.76,-32.688,32.797,23.99,1258.6,329.19,349.24,6.3275875340598065,-2.897,140.051,-2.866,139.99,152.391,129.03855684850717,754,1566
00013_2123172087000,52,2,1454,1455,39,33,75.0,63.46153846153846,0.7278,2.1872,2.71696,2.7425,2.2001999999999997,2.7425,-31.828,32.281,44.12,1246.45,313.54,349.21,9.539336577163793,85.272,111.695,88.526,111.634,152.391,128.8086460045506,429,891
00014_2126379622999,64,2,1479,1480,51,47,79.6875,73.4375,0.9642000000000001,2.1745,2.6993,2.7455,2.1768,2.7455,-33.469,33.078,5.34,1265.29,328.39,349.21,8.150055931065316,-2.395,131.554,-2.381,131.539,152.391,128.51267274481097,611,1269
